DISH	FRIG	WASH	DUR	
841	1317	1271	252.6	
957	1615	1295	272.4	
999	1662	1313	270.9	
960	1295	1150	273.9	
894	1271	1289	268.9	
851	1555	1245	262.9	
863	1639	1270	270.9	
878	1238	1103	263.4	
792	1277	1273	260.6	
589	1258	1031	231.9	
657	1417	1143	242.7	
699	1185	1101	248.6	
675	1196	1181	258.7	
652	1410	1116	248.4	
628	1417	1190	255.5	
529	919	1125	240.4	
480	943	1036	247.7	
530	1175	1019	249.1	
557	1269	1047	251.8	
602	973	918	262	
658	1102	1137	263.3	
749	1344	1167	280	
827	1641	1230	288.5	
858	1225	1081	300.5	
808	1429	1326	312.6	
840	1699	1228	322.5	
893	1749	1297	324.3	
950	1117	1198	333.1	
838	1242	1292	344.8	
884	1684	1342	350.3	
905	1764	1323	369.1	
909	1328	1274	356.4	
