CARDHLDR,DEFAULT,AGE,ACADMOS,ADEPCNT,MAJORDRG,MINORDRG,OWNRENT,INCOME,SELFEMPL,INCPER,EXP_INC,SPENDING
0,0,27.25,4,0,0,0,0,1200,0,18000,0.0006667, 
0,0,40.8333321,111,3,0,0,1,4000,0,13500,0.0002222, 
1,0,37.6666679,54,3,0,0,1,3666.666667,0,11300,0.0332699,121.9896773
1,0,42.5,60,3,0,0,1,2000,0,17250,0.0484268,96.8536213
1,0,21.333334,8,0,0,0,0,2916.666667,0,35000,0.0165229,48.19167
1,0,20.833334,78,1,0,0,0,1750,0,11750,0.0313234,54.8159555
1,0,62.6666679,25,1,0,0,1,5250,0,36500,0.039269,206.1624667
1,0,20.333334,6,0,0,0,0,1833.333333,0,47000,0.0491421,90.0938977
1,0,31.75,20,3,0,0,0,2919.333333,0,8758,0.0100488,29.3358326
1,0,45.8333321,162,7,0,0,1,4916.666667,0,7375,0.0940781,462.5508475
1,0,22.666666,38,1,0,1,0,2361,0,14166,0.0233715,55.1799993
1,0,33.25,34,3,0,0,0,1666.666667,0,6050,0.0052169,8.6949036
1,0,23.75,34,0,0,0,0,1573.833333,0,18886,0.0034978,5.5050002
1,0,34.9166679,72,1,1,0,1,2333.333333,0,14000,0.0588668,137.355838
1,0,29.166666,61,2,0,0,1,5108.083333,0,20432.33398,0.0276514,141.2458331
0,0,22.75,154,1,0,0,1,1865,0,11190,0.0005362, 
1,1,26.416666,8,1,0,0,0,2416.666667,0,14500,0.0417586,100.9166632
1,0,33.6666679,58,4,0,1,1,3750,0,9000,0.0041556,15.583334
1,0,30.5,25,0,0,1,0,2116.666667,0,25400,0.0652138,138.035844
1,0,36.0833321,12,3,0,0,1,3333.333333,0,12100,0.0587909,195.9696909
1,0,37.75,54,4,0,0,1,3666.666667,0,8800,0.0355259,130.2616584
0,0,24.333334,6,2,0,0,1,1583.333333,0,6333.333496,0.0006316, 
1,1,54.0833321,102,0,0,0,0,4166.666667,0,54800,0.0026642,11.1009732
1,0,42.4166679,128,0,0,1,1,1166.666667,0,54000,0.0079815,9.3117279
1,0,35.3333321,110,3,0,0,1,4000,0,12300,0.0154268,61.7073178
1,0,32.1666679,64,2,0,0,1,8155.583333,0,32622.33398,0.0670506,546.8366834
1,0,40.3333321,95,4,0,0,1,4333.333333,0,12460,0.0571438,247.6232139
1,0,44.3333321,60,0,0,0,1,1325,0,15900,0.1919522,254.3366633
1,0,21.666666,122,0,0,0,1,1200,0,20400,0.1710745,205.2894115
1,0,31.666666,12,0,0,0,0,3205.833333,0,38470,0.0717193,229.9200151
1,0,32.6666679,26,2,0,1,0,2900,0,11600,0.5039468,1461.445838
1,0,57.4166679,60,0,0,0,1,2166.666667,0,65805,0.0376952,81.672851
1,0,44.3333321,36,0,0,0,0,2000,0,24000,0.0179729,35.9458327
1,0,41.1666679,14,2,0,0,0,2666.666667,0,11166.66699,0.0105534,28.142487
1,0,30.833334,102,2,0,1,1,1550,0,6200,0.0600538,93.0833312
1,0,55.6666679,60,2,0,0,1,3600,0,14400,0.0326178,117.4241602
1,0,34.9166679,18,4,0,1,1,5908.333333,0,14180,0.0068519,40.4833334
1,0,47.8333321,73,1,0,0,1,4550,0,35300,0.026061,118.5777633
1,0,30.333334,18,1,2,0,0,2116.666667,0,32860,0.0242036,51.2309344
