compensation,profits,changesales,changedebt
0.7,357,27.9,0
0.7,48,1.7,0
0.8,932,14.5,0
0.7,366,17.9,0
0.8,83,2.2,0
0,22,5.1,0
0,67,4,-6.6
0.6,413,0,0
0.3,496,0.4,-1.1
0.5,458,6.5,0
0.4,152,3.9,0
1,115,3.9,12.2
0.9,964,18.3,0
1.2,459,3.9,0
1,421,19,0
1.3,723,-2.6,0
1.1,256,3.4,0
0.5,294,0.5,0
0.7,1310,6.2,0
0.6,627,8.6,0
1.4,714,7.3,0
0.6,270,1.2,0
0.4,52,3.4,0
0.2,71,13.7,0
0.4,135,0,0
0.6,50,0.9,0
0.6,182,3.5,0
0.7,82,0.5,0
0.5,24,2,0
1.3,1137,25.2,0
0.7,195,1.3,0
1.2,325,1,0
1,120,3.1,0
0.6,282,8.8,0
0.8,228,3.3,0
0.6,351,8.5,2.4
1,1541,14.3,6
2.9,1661,4,0
1.3,2769,1.5,0
1,510,0.4,0
0.9,200,3.6,0
1.2,678,0.2,-0.8
2.9,1113,25.5,29.7
1.4,2178,-2.9,18.3
1,1074,12.3,-1.5
1.8,586,1.5,0
2.9,2232,2.5,24
0.3,92,8.3,-20.1
2.6,640,4.5,15.6
2,2663,1.1,0
1.6,925,7.9,7.7
2,503,3.7,6.2
1.2,472,0.7,0
1.7,346,2.1,10.7
1.7,337,16.7,13.9
0.2,1,9,9.1
0.9,993,4,15.3
2.5,1575,2.4,0
0.1,41,0.1,0.8
3.9,2501,1.7,-2.4
5.3,2304,1.8,-8.1
0.1,29,39.7,1.7
1.9,2493,3.4,0
1.1,71,12.9,-1.7
0.6,185,23.1,7.5
0.6,327,4.1,5.8
1.7,409,9.4,29.2
2.4,117,26.7,33.5
0.4,179,6.1,0
1.2,234,4.3,2.9
