age,sex,educ,income91,satjob,life,impjob,hrs1,degree,anomia5,happy
43,Male,11,$40000-49999,Mod satisfied,Routine,Very important,35,High school,Agree,NOT TOO HAPPY
44,Male,16,$40000-49999,Very dissatisfied,Exciting,Very important,21,Bachelor,Agree,PRETTY HAPPY
43,Female,16,$40000-49999,Very satisfied,Exciting,One of most important,45,Bachelor,Agree,VERY HAPPY
45,Female,15,REFUSED,A little dissatisfied,NA,Very important,20,High school,NA,PRETTY HAPPY
78,Female,17,$75000+,NA,Exciting,Very important,NA,Graduate,Agree,NA
83,Male,11,$20000-22499,NA,Routine,One of most important,NA,High school,Agree,PRETTY HAPPY
55,Female,12,$50000-59999,Very satisfied,Routine,Very important,35,High school,Agree,PRETTY HAPPY
75,Male,12,$12500-14999,NA,Routine,One of most important,NA,High school,Agree,PRETTY HAPPY
31,Male,18,$75000+,Very satisfied,Exciting,Very important,50,Graduate,Agree,PRETTY HAPPY
54,Female,18,$10000-12499,Very satisfied,Exciting,One of most important,20,Graduate,NA,VERY HAPPY
29,Female,18,$30000-34999,Mod satisfied,NA,One of most important,35,Graduate,NA,PRETTY HAPPY
23,Female,15,$40000-49999,Mod satisfied,Routine,One of most important,60,High school,Agree,PRETTY HAPPY
61,Female,12,$22500-24999,Mod satisfied,NA,One of most important,40,High school,NA,PRETTY HAPPY
63,Female,4,$5000-5999,NA,Dull,NA,NA,Less than HS,NA,NOT TOO HAPPY
33,Female,10,$10000-12499,Mod satisfied,Exciting,One of most important,NA,Less than HS,Agree,PRETTY HAPPY
36,Female,14,$12500-14999,A little dissatisfied,NA,Very important,37,High school,NA,PRETTY HAPPY
39,Female,8,$5000-5999,Mod satisfied,Exciting,Not at all important,NA,Less than HS,Agree,PRETTY HAPPY
55,Male,15,REFUSED,Mod satisfied,NA,One of most important,40,High school,NA,VERY HAPPY
55,Female,16,$75000+,A little dissatisfied,Routine,Very important,38,Bachelor,Disagree,PRETTY HAPPY
34,Male,16,$75000+,Mod satisfied,NA,Very important,55,Bachelor,NA,PRETTY HAPPY
36,Female,14,$60000-74999,Very satisfied,Routine,Very important,NA,Junior college,Agree,PRETTY HAPPY
44,Female,18,$75000+,Very satisfied,Exciting,One of most important,21,Bachelor,Agree,PRETTY HAPPY
80,Male,18,$40000-49999,NA,NA,Very important,NA,Graduate,NA,NOT TOO HAPPY
32,Male,16,$25000-29999,Mod satisfied,NA,Very important,32,Bachelor,NA,PRETTY HAPPY
37,Male,5,$20000-22499,Very satisfied,NA,Very important,30,Less than HS,NA,VERY HAPPY
49,Female,16,$30000-34999,Mod satisfied,NA,One of most important,80,Bachelor,NA,PRETTY HAPPY
45,Female,16,$60000-74999,Mod satisfied,Routine,Very important,50,Bachelor,Agree,PRETTY HAPPY
36,Female,18,$30000-34999,Mod satisfied,Routine,Very important,40,Bachelor,Agree,PRETTY HAPPY
23,Female,16,$10000-12499,Very satisfied,NA,Very important,21,High school,NA,PRETTY HAPPY
29,Male,16,$50000-59999,Mod satisfied,Exciting,Very important,50,Graduate,Disagree,PRETTY HAPPY
30,Female,14,$30000-34999,Mod satisfied,Routine,Not too important,40,Junior college,Agree,PRETTY HAPPY
