,age,sex,educ,income91,richwork,satjob,life,impjob,hrs1,degree,anomia5,satjob2,marital,agewed,zodiac,postlife,happy,hapmar,tvhours
1,55,Female,16,75000,Continue working,A little dissatisfied,Routine,Very important,38,Bachelor,Disagree,Not very satisfied,MARRIED,32,LIBRA,YES,PRETTY HAPPY,VERY HAPPY,2
2,44,Female,18,75000,Continue working,Very satisfied,Exciting,One of most important,21,Bachelor,Agree,Very satisfied,MARRIED,23,LEO,YES,PRETTY HAPPY,PRETTY HAPPY,2
3,20,Female,12,8000,Continue working,Very satisfied,Exciting,Very important,20,High school,Disagree,Very satisfied,MARRIED,19,SAGITTARIUS,YES,VERY HAPPY,VERY HAPPY,3
4,41,Male,6,30000,Continue working,Mod satisfied,Routine,Very important,16,Less than HS,Agree,Not very satisfied,MARRIED,28,VIRGO,YES,NOT TOO HAPPY,PRETTY HAPPY,2
5,61,Female,16,35000,Stop working,Very satisfied,Exciting,One of most important,89,Bachelor,Disagree,Very satisfied,MARRIED,20,CANCER,YES,VERY HAPPY,VERY HAPPY,1
6,46,Male,20,75000,Continue working,Mod satisfied,Exciting,One of most important,50,Graduate,Agree,Not very satisfied,MARRIED,23,VIRGO,NO,VERY HAPPY,PRETTY HAPPY,1
7,37,Female,16,75000,Continue working,Mod satisfied,Exciting,Somewhat important,10,Bachelor,Disagree,Not very satisfied,MARRIED,22,LIBRA,YES,VERY HAPPY,VERY HAPPY,2
8,49,Male,15,50000,Continue working,Mod satisfied,Exciting,Very important,50,High school,Disagree,Not very satisfied,MARRIED,30,AQUARIUS,NO,PRETTY HAPPY,VERY HAPPY,1
9,49,Female,13,75000,Continue working,Mod satisfied,Exciting,Very important,20,High school,Agree,Not very satisfied,MARRIED,29,CAPRICORN,NO,PRETTY HAPPY,VERY HAPPY,2
10,45,Male,15,60000,Continue working,Mod satisfied,Exciting,Somewhat important,50,High school,Disagree,Not very satisfied,MARRIED,20,SCORPIO,YES,VERY HAPPY,VERY HAPPY,1
11,27,Male,16,35000,Continue working,Very satisfied,Exciting,One of most important,80,Bachelor,Disagree,Very satisfied,MARRIED,24,VIRGO,YES,PRETTY HAPPY,PRETTY HAPPY,1
12,52,Female,14,40000,Continue working,Mod satisfied,Dull,Very important,20,Junior college,Agree,Not very satisfied,MARRIED,18,LIBRA,YES,PRETTY HAPPY,PRETTY HAPPY,6
13,24,Female,12,35000,Continue working,Very satisfied,Routine,Very important,55,High school,Agree,Very satisfied,MARRIED,19,AQUARIUS,YES,PRETTY HAPPY,VERY HAPPY,2
14,57,Male,17,75000,Stop working,Mod satisfied,Exciting,Very important,60,Bachelor,Disagree,Not very satisfied,MARRIED,20,ARIES,YES,VERY HAPPY,VERY HAPPY,1
15,27,Male,15,50000,Stop working,Mod satisfied,Routine,Very important,55,High school,Disagree,Not very satisfied,MARRIED,26,CAPRICORN,NO,VERY HAPPY,VERY HAPPY,3
16,44,Male,20,60000,Continue working,Very satisfied,Exciting,One of most important,55,Graduate,Agree,Very satisfied,MARRIED,27,CAPRICORN,YES,PRETTY HAPPY,VERY HAPPY,2
17,59,Male,20,75000,Continue working,Very satisfied,Exciting,Very important,67,Graduate,Disagree,Very satisfied,MARRIED,21,GEMINI,YES,VERY HAPPY,VERY HAPPY,1
18,35,Male,14,60000,Continue working,Mod satisfied,Exciting,Very important,40,High school,Agree,Not very satisfied,MARRIED,30,SAGITTARIUS,YES,PRETTY HAPPY,VERY HAPPY,2
19,43,Female,15,40000,Continue working,Mod satisfied,Exciting,One of most important,24,High school,Agree,Not very satisfied,MARRIED,22,VIRGO,YES,NOT TOO HAPPY,PRETTY HAPPY,2
20,31,Male,12,30000,Continue working,Very satisfied,Routine,Very important,40,High school,Agree,Very satisfied,MARRIED,26,AQUARIUS,YES,PRETTY HAPPY,VERY HAPPY,2
21,43,Female,16,40000,Continue working,Very satisfied,Routine,Very important,38,Bachelor,Disagree,Very satisfied,MARRIED,21,ARIES,YES,PRETTY HAPPY,PRETTY HAPPY,1
22,59,Female,13,60000,Stop working,Very satisfied,Exciting,Somewhat important,32,High school,Agree,Very satisfied,MARRIED,20,GEMINI,YES,PRETTY HAPPY,PRETTY HAPPY,2
23,41,Female,13,60000,Stop working,Mod satisfied,Exciting,Somewhat important,40,High school,Agree,Not very satisfied,MARRIED,18,LIBRA,YES,VERY HAPPY,VERY HAPPY,1
24,50,Male,12,60000,Continue working,Very satisfied,Exciting,One of most important,40,High school,Disagree,Very satisfied,MARRIED,26,SAGITTARIUS,YES,PRETTY HAPPY,PRETTY HAPPY,3
25,60,Female,12,75000,Stop working,Mod satisfied,Exciting,Very important,40,High school,Agree,Not very satisfied,MARRIED,20,PISCES,NO,VERY HAPPY,VERY HAPPY,3
26,47,Female,12,60000,Continue working,Mod satisfied,Exciting,Very important,55,High school,Agree,Not very satisfied,MARRIED,18,VIRGO,YES,PRETTY HAPPY,PRETTY HAPPY,2
27,45,Female,14,40000,Continue working,Very satisfied,Exciting,Very important,20,Junior college,Agree,Very satisfied,MARRIED,18,SAGITTARIUS,YES,PRETTY HAPPY,PRETTY HAPPY,1
28,37,Male,14,35000,Continue working,Very satisfied,Exciting,Somewhat important,48,Junior college,Disagree,Very satisfied,MARRIED,24,LIBRA,YES,PRETTY HAPPY,VERY HAPPY,2
29,41,Male,11,20000,Stop working,Mod satisfied,Routine,One of most important,40,Less than HS,Agree,Not very satisfied,MARRIED,21,CANCER,YES,NOT TOO HAPPY,PRETTY HAPPY,5
30,43,Male,16,75000,Stop working,Mod satisfied,Routine,One of most important,40,Bachelor,Agree,Not very satisfied,MARRIED,26,GEMINI,NO,PRETTY HAPPY,PRETTY HAPPY,1
31,47,Female,18,75000,Continue working,Very satisfied,Exciting,Very important,40,Graduate,Agree,Very satisfied,MARRIED,28,CANCER,YES,PRETTY HAPPY,PRETTY HAPPY,6
32,65,Male,13,22500,Continue working,Very satisfied,Exciting,Somewhat important,24,High school,Agree,Very satisfied,MARRIED,24,LEO,YES,PRETTY HAPPY,VERY HAPPY,4
33,49,Female,8,10000,Stop working,Very satisfied,Exciting,Very important,24,Less than HS,Agree,Very satisfied,MARRIED,20,TAURUS,YES,NOT TOO HAPPY,VERY HAPPY,1
34,41,Male,15,75000,Continue working,Mod satisfied,Routine,One of most important,40,High school,Agree,Not very satisfied,MARRIED,20,TAURUS,YES,PRETTY HAPPY,VERY HAPPY,1
35,36,Female,14,35000,Continue working,Very satisfied,Exciting,Very important,41,Junior college,Agree,Very satisfied,MARRIED,20,ARIES,YES,VERY HAPPY,VERY HAPPY,1
36,39,Female,16,50000,Continue working,Mod satisfied,Exciting,Very important,40,Bachelor,Disagree,Not very satisfied,MARRIED,23,CAPRICORN,NO,VERY HAPPY,VERY HAPPY,2
37,44,Male,14,40000,Continue working,Mod satisfied,Routine,Very important,40,Junior college,Disagree,Not very satisfied,MARRIED,21,LEO,YES,PRETTY HAPPY,PRETTY HAPPY,4
38,26,Male,13,35000,Continue working,Mod satisfied,Routine,Somewhat important,52,High school,Agree,Not very satisfied,MARRIED,23,LIBRA,YES,PRETTY HAPPY,PRETTY HAPPY,3
39,41,Male,14,75000,Stop working,Mod satisfied,Exciting,Very important,53,High school,Agree,Not very satisfied,MARRIED,40,PISCES,YES,PRETTY HAPPY,VERY HAPPY,1
40,42,Male,15,50000,Continue working,A little dissatisfied,Routine,Somewhat important,40,Junior college,Agree,Not very satisfied,MARRIED,20,CAPRICORN,YES,PRETTY HAPPY,VERY HAPPY,2
41,43,Female,12,5000,Continue working,A little dissatisfied,Dull,One of most important,20,High school,Agree,Not very satisfied,MARRIED,22,GEMINI,YES,NOT TOO HAPPY,NOT TOO HAPPY,10
42,26,Male,12,15000,Continue working,Mod satisfied,Exciting,Very important,65,High school,Agree,Not very satisfied,MARRIED,19,SCORPIO,YES,PRETTY HAPPY,VERY HAPPY,3
43,51,Male,12,17500,Continue working,Very satisfied,Exciting,One of most important,55,High school,Disagree,Very satisfied,MARRIED,21,CAPRICORN,YES,VERY HAPPY,VERY HAPPY,1
44,40,Female,12,40000,Continue working,Very satisfied,Exciting,One of most important,40,High school,Disagree,Very satisfied,MARRIED,21,ARIES,YES,VERY HAPPY,VERY HAPPY,3
45,52,Male,12,75000,Stop working,Very satisfied,Exciting,One of most important,40,High school,Agree,Very satisfied,MARRIED,25,LEO,YES,PRETTY HAPPY,PRETTY HAPPY,2
46,50,Female,14,35000,Stop working,Mod satisfied,Routine,Very important,16,Junior college,Agree,Not very satisfied,MARRIED,19,GEMINI,YES,PRETTY HAPPY,VERY HAPPY,4
47,45,Female,13,50000,Stop working,Mod satisfied,Routine,Somewhat important,45,High school,Agree,Not very satisfied,MARRIED,20,AQUARIUS,YES,VERY HAPPY,PRETTY HAPPY,1
48,39,Male,14,22500,Continue working,Very satisfied,Exciting,Very important,40,Junior college,Agree,Very satisfied,MARRIED,30,LIBRA,YES,VERY HAPPY,VERY HAPPY,2
49,40,Female,12,40000,Stop working,Very satisfied,Exciting,Very important,35,High school,Disagree,Very satisfied,MARRIED,19,VIRGO,YES,VERY HAPPY,VERY HAPPY,1
50,37,Male,17,22500,Stop working,Mod satisfied,Exciting,One of most important,40,Bachelor,Agree,Not very satisfied,MARRIED,22,LIBRA,YES,PRETTY HAPPY,PRETTY HAPPY,1
51,27,Female,14,30000,Continue working,Mod satisfied,Routine,One of most important,40,Junior college,Disagree,Not very satisfied,MARRIED,20,AQUARIUS,YES,VERY HAPPY,VERY HAPPY,3
