pres92,age,agecat,educ,degree,sex
3,79,4,12,1,1
3,32,1,17,3,1
3,50,3,6,0,2
3,56,3,8,0,2
3,51,3,17,3,2
3,48,3,12,1,1
3,29,1,13,1,2
3,40,2,13,1,2
3,46,3,13,1,2
3,37,2,19,4,2
3,43,2,16,4,2
3,45,3,16,3,2
3,53,3,16,3,2
3,34,1,15,1,1
3,32,1,19,4,1
3,53,3,12,1,1
1,27,1,17,3,1
3,42,2,16,3,2
3,27,1,16,3,2
3,40,2,20,4,2
3,74,4,3,0,1
2,41,2,15,2,1
1,26,1,16,3,1
3,49,3,14,2,2
1,49,3,17,4,2
3,37,2,16,3,2
3,55,3,18,4,2
3,26,1,16,3,2
3,25,1,12,1,1
1,47,3,20,4,2
3,53,3,16,3,1
1,42,2,13,1,1
3,73,4,6,0,2
3,80,4,12,1,2
3,42,2,15,3,2
3,44,2,10,0,2
3,43,2,18,4,2
3,28,1,15,1,1
3,42,2,12,1,1
3,26,1,13,1,2
3,29,1,16,3,2
3,29,1,12,1,2
2,32,1,12,1,2
1,34,1,16,3,2
3,59,3,16,1,1
1,38,2,16,3,2
1,37,2,16,3,1
3,34,1,20,4,1
1,23,1,16,3,2
3,38,2,16,3,2
1,80,4,15,1,1
1,43,2,13,1,1
3,86,4,11,1,2
3,25,1,16,3,1
3,29,1,13,1,2
3,38,2,15,1,1
3,24,1,13,1,2
3,62,3,20,4,1
3,38,2,14,2,2
3,89,4,16,3,2
3,71,4,14,1,2
3,60,3,14,0,1
3,49,3,14,1,2
3,24,1,13,1,2
3,37,2,12,1,2
2,32,1,14,2,1
3,23,1,13,1,1
1,45,3,10,1,2
2,36,2,12,1,1
3,41,2,12,1,2
1,49,3,20,4,1
1,33,1,13,1,1
3,46,3,14,1,2
3,31,1,14,2,2
3,47,3,14,1,2
3,55,3,10,0,2
2,30,1,13,1,2
3,33,1,16,4,2
3,29,1,12,1,1
3,33,1,14,1,1
3,37,2,14,2,2
3,50,3,18,4,2
3,78,4,12,1,1
3,40,2,13,1,2
