country,populatn,density,urban,religion,lifeexpf,lifeexpm,literacy,pop_incr,babymort,gdp_cap,region,calories,aids,birth_rt,death_rt,aids_rt,log_gdp,lg_aidsr,b_to_d,fertilty,log_pop,cropgrow,lit_male,lit_fema,climate
Afghanistan,20500,25,18,Muslim,44,45,29,2.8,168,205,3, ,0,53,22,0,2.31175386105575,0,2.40909090909091,6.9,4.31175386105575,12,44,14,3
Argentina,33900,12,86,Catholic,75,68,95,1.3,25.6,3408,6,3113,3904,20,9,11.5162241887906,3.53249958609466,1.63027932966663,2.22222222222222,2.8,4.53019969820308,9,96,95,8
Armenia,3700,126,68,Orthodox,75,68,98,1.4,27,5000,5, ,2,23,6,.0540540540540541,3.69897000433602,.55791193791225,3.83333333333333,3.19,3.56820172406699,17,100,100, 
Australia,17800,2.3,85,Protstnt,80,74,100,1.38,7.3,16848,1,3216,4727,15,8,26.5561797752809,4.22654835384141,1.92678439361192,1.875,1.9,4.25042000230889,6,100,100,3
Austria,8000,94,58,Catholic,79,73,99,.2,6.7,18396,1,3495,1150,12,11,14.375,4.264723400902,1.70420396214173,1.09090909090909,1.5,3.90308998699194,17, , ,8
Azerbaijan,7400,86,54,Muslim,75,67,98,1.4,35,3000,5, , ,23,7, ,3.47712125471966, ,3.28571428571429,2.8,3.86923171973098,18,100,100,3
Bahrain,600,828,83,Muslim,74,71,77,2.4,25,7875,5, ,13,29,4,2.16666666666667,3.89625056246164,1.16723531932969,7.25,3.96,2.77815125038364,2,55,55,3
Bangladesh,125000,800,16,Muslim,53,53,35,2.4,106,202,3,2021,1,35,11,.000857632933104631,2.30535136944662,.24359046806108,3.18181818181818,4.7,5.09691001300806,67,47,22,5
Barbados,256,605,45,Protstnt,78,73,99,.21,20.3,6950,6, ,418,16,8.4,139.333333333333,3.84198480459011,2.68417610210946,1.9047619047619,1.78,2.40823996531185,77,99,99,5
Belarus,10300,50,65,Orthodox,76,66,99,.32,19,6500,2, ,10,13,11,.0970873786407767,3.81291335664286,.627238279747852,1.18181818181818,1.88,4.01283722470517,29,100,100,8
Belgium,10100,329,96,Catholic,79,73,99,.2,7.2,17912,1, ,1603,12,11,15.8712871287129,4.25314408057097,1.73829079226372,1.09090909090909,1.7,4.00432137378264,24, , ,8
Bolivia,7900,6.9,51,Catholic,64,59,78,2.7,75,730,6,1916,87,34,9,1.10126582278481,2.86332286012046,1.01947934738733,3.77777777777778,4.21,3.89762709129044,3,85,71,4
Bosnia,4600,87,36,Muslim,78,72,86,.7,12.7,3098,2, , ,14,6.39, ,3.49108141342319, ,2.19092331768388, ,3.66275783168157,20, , ,8
Botswana,1359,2.4,25,Tribal,66,60,72,2.7,39.3,2677,4,2375,1415,32,8,101.071428571429,3.42764837118693,2.51724612413987,4,5.1,3.13321945673249,2,32,16,4
Brazil,156600,18,75,Catholic,67,57,81,1.28,66,2354,6,2751,49312,21,9,31.4891443167305,3.37180645850742,1.9935731318414,2.33333333333333,2.7,5.19479175772192,7,82,80,5
Bulgaria,8900,79,68,Orthodox,75,69,93,-.2,12,3831,2, ,24,13,12,.269662921348315,3.58331215198308,.769421374834501,1.08333333333333,1.8,3.94939000664491,34, , ,8
Burkina Faso,10000,36,15,Animist,50,47,18,2.81,118,357,4,2288,4193,47,18,41.93,2.55266821611219,2.11108136662287,2.61111111111111,6.94,4,10,28,9,5
